"","EM","P","PCOM","FF","NBRX","M2"
"1",1090.01594,308.2826966,7.550755251,3.99,0.919953073,3.974803282
"2",1090.437675,308.3743158,6.291382541,3.97,0.925578831,3.675366333
"3",1090.204007,308.4658511,3.454032525,3.84,0.940626158,3.466787277
"4",1090.841168,308.8311479,2.808296874,3.92,0.943716913,3.372343631
"5",1090.342066,308.9222575,1.242252,3.85,0.954243542,2.943719475
"6",1090.183742,308.9677855,-0.621120009,3.32,0.960128617,2.776931512
"7",1090.069446,309.1496906,-1.250016276,3.23,0.965526651,2.97672806
"8",1090.039929,309.3312567,-1.560094044,2.98,0.973280376,3.461424999
"9",1089.790531,309.4219206,-3.115516778,2.6,0.980712299,3.873712124
"10",1089.640594,309.5125024,-4.056718499,2.47,0.985110556,4.280969837
"11",1089.386483,309.8740027,-4.710446919,2.44,0.988229047,4.546835803
"12",1088.887515,309.9190996,-6.271647387,1.98,0.993331555,4.776626237
"13",1088.807225,309.9190996,-6.899287149,1.45,0.994259979,5.19168633
"14",1088.519142,310.0092323,-5.32206962,2.54,0.988155668,5.878401613
"15",1088.762383,309.9641761,-2.500130221,2.02,0.993698236,6.134945952
"16",1088.67264,309.8740027,-2.177379955,1.49,0.994875483,6.405931952
"17",1089.073988,309.9641761,-1.869213301,1.98,0.991391029,6.832143828
"18",1089.518256,310.0092323,-2.843793532,1.73,0.994317669,7.011904116
"19",1089.72392,310.1892459,-1.584819224,1.17,0.995145631,6.812008547
"20",1090.084201,310.2791356,-0.947874395,2,0.994213993,6.534068254
"21",1090.200322,310.4138188,-0.634922768,1.88,0.996633891,6.613798697
"22",1090.367816,310.3689446,-0.63897981,2.26,0.993779024,6.758315455
"23",1090.819201,310.4138188,-1.620781023,2.61,0.991464902,6.968950783
"24",1091.042305,310.4138188,0.645163528,2.33,0.988433777,7.143357379
"25",1090.978351,310.5931062,1.929320293,2.15,0.992428198,7.185851877
"26",1091.541568,310.8614403,0,2.37,0.993982833,7.197086682
"27",1091.703203,310.9953421,-1.916991611,2.85,0.992095213,7.505903297
"28",1092.339929,311.1290648,-3.846628083,2.78,0.99364519,7.707102316
"29",1092.439052,311.2181056,-3.520363519,2.36,0.994641602,7.535519348
"30",1092.52368,311.2626005,-2.59754864,2.68,0.990995763,7.414982095
"31",1092.671156,311.1735909,-3.577617317,2.71,0.991925575,7.469356848
"32",1092.913481,311.3515309,-4.879016417,2.93,0.989079701,7.428239634
"33",1093.04069,311.8392313,-4.561051125,2.9,0.992971976,7.40537826
"34",1093.153431,311.7507337,-3.589292306,2.9,0.994497817,7.567061223
"35",1093.196346,311.7949923,-1.315808458,2.94,0.989557953,7.638312528
"36",1093.164161,311.7507337,-3.268264743,2.93,0.977593933,7.800923035
"37",1093.194558,312.0159835,-3.896596853,2.92,0.987377885,7.888413341
"38",1093.408863,312.1042468,-3.601043752,3,0.985509777,7.848104548
"39",1093.583539,312.0159835,-3.278982282,2.98,0.986934409,7.72632505
"40",1094.118143,312.0159835,-2.649161545,2.9,0.988645297,7.724933815
"41",1094.222598,312.1483492,-2.306527293,3,0.981620865,7.912793537
"42",1094.311034,312.3685618,-0.660068403,2.99,0.977276715,8.021669177
"43",1094.531783,312.54439,1.315808458,3.02,0.97415438,8.268130963
"44",1094.769645,312.6760503,1.652930195,3.49,0.971351445,8.366385003
